"Id","Season","Week","SeasonType","NeutralSite","HomeId","HomeTeam","HomePoints","AwayId","AwayTeam","AwayPoints"
"401282714","2021","1","regular","false","356","Illinois","30","158","Nebraska","22"
"401286187","2021","1","regular","false","278","Fresno State","45","41","UConn","0"
"401329133","2021","1","regular","true","2119","Central State (OH)","6","2310","Kentucky State","20"
"401309833","2021","1","regular","false","26","UCLA","44","62","Hawai'i","10"
"401328337","2021","1","regular","false","282","Indiana State","26","2197","Eastern Illinois","21"
"401327539","2021","1","regular","true","2428","North Carolina Central","23","2016","Alcorn State","14"
"401282049","2021","1","regular","false","166","New Mexico State","3","2638","UTEP","30"
"401310693","2021","1","regular","false","23","San José State","45","253","Southern Utah","14"
"401282050","2021","1","regular","true","55","Jacksonville State","0","5","UAB","31"
"401328215","2021","1","regular","false","351","Wingate","30","2551","Shaw","7"
"401328989","2021","1","regular","false","131","Wayne State (MI)","21","215","Slippery Rock","24"
"401328204","2021","1","regular","false","2619","Stony Brook","21","160","New Hampshire","27"
"401334787","2021","1","regular","false","2986","Fairmont State","14","2858","PennWest California","23"
"401334786","2021","1","regular","false","2844","Wayne State (NE)","34","559","University of Mary","27"
"401337471","2021","1","regular","false","2699","West Liberty","6","2682","Walsh","27"
"401328276","2021","1","regular","false","2033","Arkansas Tech","20","199","Southeastern Oklahoma State","38"
"401309540","2021","1","regular","false","2050","Ball State","31","2710","Western Illinois","21"
"401329651","2021","1","regular","false","2369","Mars Hill","24","2804","Chowan","30"
"401329689","2021","1","regular","false","389","Upper Iowa University","14","134","Minnesota Duluth","41"
"401329357","2021","1","regular","false","2477","Ohio Dominican","30","2974","Shepherd","35"
"401329270","2021","1","regular","false","611","Seton Hill","16","112335","Wheeling","14"
"401329056","2021","1","regular","false","2105","Carson-Newman College","7","2698","West Georgia","45"
"401329020","2021","1","regular","false","2401","Mississippi College","0","2013","Albany State GA","24"
"401329015","2021","1","regular","false","2170","Delta State","48","2064","Bethel University Tennessee","14"
"401328973","2021","1","regular","false","2886","Northwood (MI)","21","367","Gannon","28"
"401328605","2021","1","regular","false","2815","Lindenwood","20","2025","Angelo State","40"
"401329425","2021","1","regular","false","210","Millersville","9","2022","American International","14"
"401328432","2021","1","regular","false","2823","Northwestern Oklahoma State","13","2568","Southern Arkansas","32"
"401328397","2021","1","regular","false","2927","Southwestern Oklahoma State","13","2271","Henderson State","31"
"401328309","2021","1","regular","false","2028","Arkansas-Monticello","30","200","Southern Nazarene","23"
"401328175","2021","1","regular","false","311","Maine","24","48","Delaware","34"
"401328388","2021","1","regular","false","2754","Youngstown State","44","2916","Incarnate Word","41"
"401328466","2021","1","regular","false","2888","Ouachita Baptist","38","319","Oklahoma Baptist","31"
"401329443","2021","1","regular","false","2876","Lincoln (MO)","12","2687","Washburn","76"
"401329491","2021","1","regular","false","2364","Minnesota State Mankato","40","425","Northern State","34"
"401329503","2021","1","regular","false","2894","Sioux Falls","16","132","Bemidji State","24"
"401328458","2021","1","regular","false","2535","Samford","52","2635","Tennessee Tech","14"
"401332315","2021","1","regular","false","2181","Drake","45","455","West Virginia Wesleyan","3"
"401357797","2021","1","regular","false","2382","Mercer","69","3179","Point University","0"
"401334756","2021","1","regular","false","2316","Kentucky Wesleyan","13","341","Frostburg State","20"
"401328545","2021","1","regular","false","324","Coastal Carolina","52","2643","The Citadel","14"
"401309542","2021","1","regular","false","2084","Buffalo","69","2681","Wagner","7"
"401300995","2021","1","regular","false","2116","UCF","36","68","Boise State","31"
"401329660","2021","1","regular","false","2188","East Stroudsburg University","35","2487","Pace","14"
"401309834","2021","1","regular","false","254","Utah","40","2692","Weber State","17"
"401328768","2021","1","regular","false","2222","Ferris State","54","2224","Findlay","14"
"401300994","2021","1","regular","false","202","Tulsa","17","302","UC Davis","19"
"401328404","2021","1","regular","false","236","Chattanooga","20","2046","Austin Peay","30"
"401300993","2021","1","regular","false","2026","App State","33","151","East Carolina","19"
"401282607","2021","1","regular","false","152","NC State","45","58","South Florida","0"
"401328383","2021","1","regular","false","2546","Southeast Missouri State","21","79","Southern Illinois","47"
"401328138","2021","1","regular","false","338","Kennesaw State","35","2890","Reinhardt University","25"
"401281952","2021","1","regular","false","2633","Tennessee","38","189","Bowling Green","6"
"401310696","2021","1","regular","false","167","New Mexico","27","2277","Houston Christian","17"
"401282789","2021","1","regular","false","135","Minnesota","31","194","Ohio State","45"
"401329340","2021","1","regular","false","2118","Central Missouri","16","90","Pittsburg St","35"
"401329456","2021","1","regular","false","2438","Nebraska-Kearney","38","2403","Missouri Southern State","0"
"401329404","2021","1","regular","false","2231","Fort Hays State","7","138","Northwest Missouri St","15"
"401282180","2021","1","regular","false","98","Western Kentucky","59","2630","UT Martin","21"
"401329374","2021","1","regular","false","2122","Central Oklahoma","24","137","Missouri Western","20"
"401330245","2021","1","regular","false","2201","Eastern New Mexico","24","2120","Central Washington","66"
"401328681","2021","1","regular","false","613","South Dakota Mines","34","2402","Missouri S&T","31"
"401329037","2021","1","regular","false","2587","Southwest Minnesota State","21","2817","Minnesota State Moorhead","33"
"401329048","2021","1","regular","false","2146","Colorado School Of Mines","42","2848","Western Oregon","3"
"401329058","2021","1","regular","false","2851","Winona State","47","3066","Concordia University St Paul","6"
"401329153","2021","1","regular","false","2570","CSU Pueblo","6","2837","East Texas A&M","12"
"401328420","2021","1","regular","false","93","Murray State","35","2400","Mississippi Valley State","0"
"401329312","2021","1","regular","false","11","Colorado Mesa","40","2911","William Jewell","3"
"401282051","2021","1","regular","false","2229","Florida International","48","2341","Long Island University","10"
"401328011","2021","1","regular","false","2464","Northern Arizona","16","2534","Sam Houston","42"
"401329450","2021","1","regular","false","2704","West Texas A&M","73","2637","Texas College","0"
"401310694","2021","1","regular","false","2439","UNLV","33","331","Eastern Washington","35"
"401309835","2021","1","regular","false","9","Arizona State","41","253","Southern Utah","14"
"401335299","2021","1","regular","false","2115","Central Connecticut","21","2583","Southern Connecticut State","28"
"401309937","2021","1","regular","false","259","Virginia Tech","17","153","North Carolina","10"
"401344437","2021","1","regular","false","2060","Bentley","41","223","West Chester","17"
