"Id","Season","Week","NeutralSite","HomeId","HomeTeam","HomePoints","AwayId","AwayTeam","AwayPoints"
"401525434","2023","1","true","87","Notre Dame","42","2426","Navy","3"
"401540199","2023","1","true","2382","Mercer","17","2453","North Alabama","7"
"401520145","2023","1","false","55","Jacksonville State","17","2638","UTEP","14"
"401525450","2023","1","false","166","New Mexico State","30","113","Massachusetts","41"
"401540628","2023","1","false","399","UAlbany","34","2230","Fordham","13"
"401532392","2023","1","false","21","San Diego State","20","195","Ohio","13"
"401539999","2023","1","true","2296","Jackson State","37","2569","South Carolina State","7"
"401520147","2023","1","false","238","Vanderbilt","35","62","Hawai'i","28"
"401523986","2023","1","false","30","USC","56","23","San José State","28"
"401520146","2023","1","false","2348","Louisiana Tech","22","2229","Florida International","17"
"401540244","2023","1","false","2320","Lamar","17","70","Idaho","42"
"401545743","2023","1","false","2441","New Haven","24","341","Frostburg State","27"
"401540288","2023","1","false","2837","East Texas A&M","10","302","UC Davis","48"
"401540527","2023","1","false","2413","Morehead State","37","2707","West Virginia State","35"
"401550265","2023","1","false","2274","Hiram College","14","191","Heidelberg","68"
"401540607","2023","1","false","338","Kennesaw State","38","2839","Greeneville","7"
"401553950","2023","1","false","2886","Northwood (MI)","9","2249","Glenville State","44"
"401545860","2023","1","false","2017","Alderson-Broaddus","0","2858","PennWest California","0"
"401540990","2023","1","false","2882","UNC Pembroke","19","2220","Fayetteville State","17"
"401544917","2023","1","false","351","Wingate","30","2013","Albany State GA","7"
"401541838","2023","1","false","122666","Wilson","41","2804","Chowan","0"
"401540470","2023","1","false","2127","Charleston Southern","13","2822","North Greenville","10"
"401540802","2023","1","false","129","Saginaw Valley State","34","2851","Winona State","24"
"401549697","2023","1","true","126110","Keiser University","14","2401","Mississippi College","17"
"401550193","2023","1","false","2827","Rowan","17","471","Stevenson","20"
"401531834","2023","1","false","2247","Georgia State","42","227","Rhode Island","35"
"401545791","2023","1","false","210","Millersville","33","2830","St. Anselm","7"
"401541787","2023","1","false","2568","Southern Arkansas","34","199","Southeastern Oklahoma State","19"
"401540323","2023","1","false","2619","Stony Brook","13","48","Delaware","37"
"401540311","2023","1","false","2097","Campbell","24","2729","William & Mary","34"
"401545869","2023","1","false","2339","Lincoln (PA)","20","2134","Clarion","30"
"401540775","2023","1","false","2823","Northwestern Oklahoma State","24","2028","Arkansas-Monticello","49"
"401540299","2023","1","false","282","Indiana State","0","2197","Eastern Illinois","27"
"401545751","2023","1","false","2825","Quincy","34","2123","Chadron St","35"
"401545810","2023","1","false","132","Bemidji State","49","425","Northern State","13"
"401545847","2023","1","false","568","Minot State","23","2587","Southwest Minnesota State","28"
"401541782","2023","1","false","2927","Southwestern Oklahoma State","14","2888","Ouachita Baptist","38"
"401550240","2023","1","false","6353","Lakeland","13","272","Wisconsin-Platteville","80"
"401541949","2023","1","false","196","Northeastern State","0","2231","Fort Hays State","56"
"401550360","2023","1","false","2056","Belhaven","47","2398","Millsaps","7"
"401541855","2023","1","false","2535","Samford","69","2560","Shorter","14"
"401547053","2023","1","false","2310","Kentucky State","34","2805","Clark Atlanta","20"
"401558399","2023","1","true","2347","Louisiana College","34","2194","East Texas Baptist University","14"
"401541872","2023","1","false","2695","West Alabama","14","2025","Angelo State","38"
"401541801","2023","1","false","2291","Indiana-Pennsylvania","24","308","Ashland","17"
"401541033","2023","1","false","2105","Carson-Newman College","35","2355","Virginia University Of Lynchburg","3"
"401541751","2023","1","false","200","Southern Nazarene","20","2264","Harding University","53"
"401541001","2023","1","false","2986","Fairmont State","34","2071","Bloomsburg","30"
"401540794","2023","1","false","134","Minnesota Duluth","47","128","Northern Michigan","10"
"401541881","2023","1","false","2698","West Georgia","21","2336","Limestone","19"
"401541833","2023","1","false","2682","Walsh","24","2699","West Liberty","21"
"401540728","2023","1","false","2402","Missouri S&T","20","2170","Delta State","48"
"401554814","2023","1","false","2085","Buffalo State","6","2781","Brockport","42"
"401525816","2023","1","false","2116","UCF","56","2309","Kent State","6"
"401532393","2023","1","false","2711","Western Michigan","35","2598","St. Francis (PA)","17"
"401525461","2023","1","false","154","Wake Forest","37","2210","Elon","17"
"401541012","2023","1","false","2128","University Of Charleston (WV)","22","367","Gannon","13"
"401540534","2023","1","false","231","Furman","45","2635","Tennessee Tech","10"
"401547175","2023","1","true","241","McMurry","19","3","Birmingham-Southern","20"
"401545779","2023","1","false","112335","Wheeling","35","611","Seton Hill","24"
"401545842","2023","1","false","2894","Sioux Falls","26","2364","Minnesota State Mankato","54"
"401545835","2023","1","false","2844","Wayne State (NE)","31","2817","Minnesota State Moorhead","23"
"401551497","2023","1","false","2188","East Stroudsburg University","62","2487","Pace","9"
"401520174","2023","1","false","41","UConn","14","152","NC State","24"
"401540451","2023","1","false","2754","Youngstown State","52","2674","Valparaiso","10"
"401545819","2023","1","false","3066","Concordia University St Paul","43","389","Upper Iowa University","20"
"401549695","2023","1","false","2222","Ferris State","54","2385","Mercyhurst","12"
"401550428","2023","1","false","2815","Lindenwood","77","2743","Wisconsin-Stevens Pt","9"
"401551490","2023","1","false","2201","Eastern New Mexico","28","2424","New Mexico Highlands","26"
"401541939","2023","1","false","2122","Central Oklahoma","24","2438","Nebraska-Kearney","21"
"401541958","2023","1","false","2403","Missouri Southern State","24","138","Northwest Missouri St","31"
"401540463","2023","1","false","2571","South Dakota State","45","2848","Western Oregon","7"
"401549650","2023","1","false","266","Beloit","34","2524","Rockford","27"
"401540278","2023","1","false","2000","Abilene Christian","31","2458","Northern Colorado","11"
"401550414","2023","1","true","512","Dakota State University","6","2740","Wisconsin-Lacrosse","31"
"401531377","2023","1","false","5","UAB","35","2448","North Carolina A&T","6"
"401520165","2023","1","false","142","Missouri","35","233","South Dakota","10"
"401541760","2023","1","false","2271","Henderson State","41","2191","East Central (OK)","13"
"401520148","2023","1","false","135","Minnesota","13","158","Nebraska","10"
"401540745","2023","1","false","2146","Colorado School Of Mines","31","125","Grand Valley State University","28"
"401520176","2023","1","false","254","Utah","24","57","Florida","11"
"401531337","2023","1","false","202","Tulsa","42","2029","Arkansas-Pine Bluff","7"
"401541923","2023","1","false","2692","Weber State","35","2120","Central Washington","10"
"401544875","2023","1","false","2214","Emporia State University","56","2876","Lincoln (MO)","10"
"401541775","2023","1","false","319","Oklahoma Baptist","23","2033","Arkansas Tech","21"
"401541984","2023","1","false","90","Pittsburg St","34","2687","Washburn","7"
"401541928","2023","1","false","137","Missouri Western","38","2118","Central Missouri","45"
"401523987","2023","1","false","9","Arizona State","24","253","Southern Utah","21"
"401541826","2023","1","true","110242","West Florida","35","2316","Kentucky Wesleyan","3"
"401550131","2023","1","false","2884","Nichols College","6","379","UMass Dartmouth","57"
"401532394","2023","1","false","2199","Eastern Michigan","33","47","Howard","23"
"401553027","2023","1","false","2108","Catholic","34","2700","McDaniel College","7"
"401549580","2023","1","false","365","Alfred University","9","174","Hobart College","31"
"401552881","2023","1","false","2749","Worcester Polytechnic Institute","44","402","Worcester St","13"
"401550079","2023","1","false","40","Curry College","0","2776","Salve Regina","48"
