Team,AverageScore,Missing Values
UAB,9.625,8
Utah State,5.3625,1
North Carolina,4.8207699322282656,2
Southern Miss,4.301303854875283,1
Bowling Green,3.7766825396825396,1
USF,2.8870535714285714,2
Ball State,2.6155555555555554,3
Charlotte,2.5791666666666666,1
Iowa,2.545325045325045,8
Colorado State,2.479166666666667,4
Akron,2.39984126984127,2
Tulane,2.2083333333333335,0
Colorado,2.15,1
FIU,1.9273843440510108,3
Fresno State,1.7875,0
South Alabama,1.75,0
Clemson,1.7458199208199208,5
Louisiana,1.73968253968254,2
Washington,1.7295918367346939,0
Arizona State,1.6610004578754578,2
Maryland,1.6465277777777778,2
Texas Tech,1.6079166666666667,1
Nevada,1.5717147435897436,1
UTSA,1.4785714285714284,2
UCLA,1.3875,0
Indiana,1.3240079365079365,0
Arizona,1.2570987654320986,0
Michigan,1.255534941249227,2
Louisiana-Monroe,1.25,0
Wyoming,1.2011844636844637,2
Troy,1.1984848484848485,1
Marshall,1.183103354978355,1
Georgia Southern,1.1792105463980465,1
Iowa State,1.160378959276018,1
Arkansas State,1.1451178451178452,2
Michigan State,1.1224275724275725,0
Kentucky,1.1193065104829811,2
Oregon State,1.0999999999999999,0
Alabama,1.0515567765567766,0
UCF,1.0095588235294117,0
West Virginia,1.0082324495250192,1
Utah,0.9422799874040023,5
San Diego State,0.919047619047619,0
Texas State,0.9142857142857144,0
Texas A&M,0.8777056277056277,0
Syracuse,0.8519480519480519,0
Mississippi State,0.84375,0
Purdue,0.8174862661704767,1
Virginia,0.8125140291806958,1
Nebraska,0.7790564373897707,0
East Carolina,0.7668367346938776,0
Ole Miss,0.7445833333333333,0
Louisville,0.7434848484848484,0
Minnesota,0.7079963235294118,0
Oklahoma,0.6989095973470975,1
San Jose State,0.6564705882352941,0
Buffalo,0.6458333333333334,0
Baylor,0.6399999999999999,0
Florida Atlantic,0.6261904761904762,0
Virginia Tech,0.6162265512265512,0
Boise State,0.6075293753865182,0
Florida,0.6021404521404521,0
Florida State,0.5932622111344538,1
Washington State,0.5740740740740741,0
Texas,0.5572649572649573,0
Houston,0.5557692307692308,0
Wisconsin,0.5483193277310925,0
Georgia State,0.5434343434343435,0
LSU,0.5358974358974359,0
Georgia Tech,0.5313762626262626,0
Auburn,0.5277056277056277,0
Arkansas,0.5230639730639731,0
Notre Dame,0.513095238095238,0
Memphis,0.5034021534021534,0
Georgia,0.49783775252525253,0
North Texas,0.4822443181818182,0
Ohio State,0.47013083070775374,0
TCU,0.4618831107322156,0
USC,0.45838779956427017,0
Oregon,0.45706269039602376,0
California,0.4330305177626606,1
UNLV,0.41898148148148145,0
Miami,0.4037337662337662,0
Penn State,0.3939145299145299,0
Coastal Carolina,0.39161616161616164,0
Appalachian State,0.3856980056980057,0
Kansas,0.37128879892037786,0
Oklahoma State,0.3332628774734038,1
NC State,0.29341246220710504,0
Cincinnati,0.29,0
Missouri,0.28720538720538724,0
Old Dominion,0.28546085858585857,0
Kansas State,0.27477591036414567,0
Illinois,0.22990620490620492,0
South Carolina,0.22973987817737818,0
Tennessee,0.19468497189085426,0
Rutgers,0.18238150738150738,0
